csv_code,baseline_auc,permuted_auc,auc_drop,baseline_accuracy,permuted_accuracy,accuracy_drop,ref_id,variable,survey_year,feature_group,question
Y1669000,0.9493346097109319,0.9460050427377253,0.0033295669732065214,0.8884397736459175,0.8819725141471302,0.006467259498787348,Y16690.00,YASR-67,2004,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y2964011,0.9493346097109319,0.9462090539112604,0.0031255557996714423,0.8884397736459175,0.8827809215844786,0.0056588520614389015,Y29640.11,YASR-72A~000012,2012,other,WHO R WOULD TURN TO FOR HELP WITH EMOTIONAL OR PERSONAL PROBLEM -
C2433500,0.9493346097109319,0.9462561334128454,0.003078476298086441,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y2258300,0.9493346097109319,0.9473912725066173,0.0019433372043146102,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y22583.00,YASR-67,2008,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C0781100,0.9493346097109319,0.9474331209524707,0.0019014887584611895,0.8884397736459175,0.8884397736459175,0.0,C07811.00,MS880775,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3563900,0.9493346097109319,0.9474645072868606,0.0018701024240712627,0.8884397736459175,0.8860145513338723,0.0024252223120452276,Y35639.00,Q12-172,2016,other,HOW MANY (MORE) CHILDREN DOES R EXPECT TO HAVE? (NONE OR SELECT TO
C0984100,0.9493346097109319,0.9475665128736281,0.0017680968373037231,0.8884397736459175,0.8843977364591754,0.00404203718674212,C09841.00,MS901329,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C2765800,0.9493346097109319,0.9476135923752131,0.001721017335718722,0.8884397736459175,0.8852061438965239,0.003233629749393674,C27658.00,CSAS040B,2002,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y1917200,0.9493346097109319,0.947663287404664,0.001671322306267875,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y19172.00,Q15-143,2006,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
Y3676100,0.9493346097109319,0.947710366906249,0.0016242428046828739,0.8884397736459175,0.8884397736459175,0.0,Y36761.00,NUMINHH2016,2016,family/home,NUMBER OF HOUSEHOLD MEMBERS IN HH OF R
C5525400,0.9493346097109319,0.9477522153521024,0.0015823943588294531,0.8884397736459175,0.883589329021827,0.004850444624090566,C55254.00,CRES2012,2012,family/home,USUAL RESIDENCE OF CHILD
C0565800,0.9493346097109319,0.9477600619356998,0.001574547775232027,0.8884397736459175,0.8843977364591754,0.00404203718674212,C05658.00,MS860536,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C0005500,0.9493346097109319,0.9477783706307606,0.0015562390801712178,0.8884397736459175,0.8860145513338723,0.0024252223120452276,C00055.00,CMOB,XRND,background,DATE OF BIRTH OF CHILD - MONTH
C1636400,0.9493346097109319,0.9479405333584424,0.0013940763524894484,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C16364.00,MS961429,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C2479400,0.9493346097109319,0.9479849973321616,0.001349612378770293,0.8884397736459175,0.8884397736459175,0.0,C24794.00,CSAS107C,2000,school/achievement,CHILD SELF-ADMIN: EVER HAD A CLASS/TRAINING PROGRAM ON WORD
C3366300,0.9493346097109319,0.9481105426697216,0.0012240670412102528,0.8884397736459175,0.8884397736459175,0.0,C33663.00,CSAS040B,2006,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y1255500,0.9493346097109319,0.9481419290041116,0.001192680706820215,0.8884397736459175,0.8868229587712207,0.0016168148746967814,Y12555.00,Q4-5AA,2002,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
Y2876700,0.9493346097109319,0.94816808428277,0.0011665254281618687,0.8884397736459175,0.8860145513338723,0.0024252223120452276,Y28767.00,Q13-3D.01~000013,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C5118200,0.9493346097109319,0.9482465501187449,0.0010880595921869407,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C51182.00,CSAS040B,2010,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y3254900,0.9493346097109319,0.9482674743416717,0.0010671353692601748,0.8884397736459175,0.8852061438965239,0.003233629749393674,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
C3420200,0.9493346097109319,0.9482727053974033,0.0010619043135285944,0.8884397736459175,0.8852061438965239,0.003233629749393674,C34202.00,MS-BPI-06,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246503,0.9493346097109319,0.9483040917317933,0.0010305179791385566,0.8884397736459175,0.883589329021827,0.004850444624090566,Y32465.03,Q13-3C.01~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C5990500,0.9493346097109319,0.9483642488727075,0.0009703608382243267,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C59905.00,MS-BKGN-AGECK-YA1,2014,family/home,IS CHILD TURNING 15 YEARS OF AGE IN 2014?
C1977300,0.9493346097109319,0.9484244060136217,0.0009102036973102079,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C19773.00,MS984004,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y1942200,0.9493346097109319,0.9484322525972192,0.0009023571137126707,0.8884397736459175,0.8868229587712207,0.0016168148746967814,Y19422.00,YASR-66,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
C2521400,0.9493346097109319,0.9484427147086825,0.0008918950022493988,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
C0606300,0.9493346097109319,0.9484531768201458,0.0008814328907860158,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,C06063.00,CS881515,1988,health,HEALTH: CHILD'S HEIGHT - FEET
C5807400,0.9493346097109319,0.9484741010430725,0.000860508667859361,0.8884397736459175,0.8884397736459175,0.0,C58074.00,BPEXTP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
Y1668200,0.9493346097109319,0.9485394892397183,0.0007951204712135507,0.8884397736459175,0.8884397736459175,0.0,Y16682.00,YASR-61B,2004,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1938701,0.9493346097109319,0.9485394892397183,0.0007951204712135507,0.8884397736459175,0.883589329021827,0.004850444624090566,Y19387.01,YASR-54A~000002,2006,other,"BIRTH CONTROL METHODS R USED - CONDOM, RUBBER"
Y3246603,0.9493346097109319,0.9485656445183767,0.0007689651925552043,0.8884397736459175,0.8868229587712207,0.0016168148746967814,Y32466.03,Q13-3C.02~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C0005700,0.9493346097109319,0.9485682600462425,0.0007663496646893586,0.8884397736459175,0.8795472918350848,0.008892481810832686,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
Y2345000,0.9493346097109319,0.9485944153249009,0.0007401943860310123,0.8884397736459175,0.8860145513338723,0.0024252223120452276,Y23450.00,Q4-5AA,2010,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
C0793800,0.9493346097109319,0.9486258016592909,0.0007088080516409745,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C07938.00,ANTI1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C0795900,0.9493346097109319,0.9486493414100834,0.0006852683008484739,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C07959.00,ANTIPX1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C1505800,0.9493346097109319,0.9486650345772784,0.0006695751336535105,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C15058.00,BPEXTS1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C0578100,0.9493346097109319,0.9486728811608759,0.0006617285500559733,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C05781.00,LOCA1986,1986,school/achievement,MEMORY FOR LOCATION:  TOTAL RAW SCORE
C3048400,0.9493346097109319,0.9486885743280709,0.0006460353828610099,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C30484.00,CSAS049A,2004,other,CHILD SELF-ADMIN: OFTEN GETS IN A JAM BECAUSE R DOES THINGS W/O
C3868100,0.9493346097109319,0.9486938053838025,0.0006408043271293185,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C38681.00,CSAS024A,2008,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
Y1176900,0.9493346097109319,0.9487068830231318,0.0006277266878000898,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y11769.00,YASR-66,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1415900,0.9493346097109319,0.9487251917181926,0.0006094179927392807,0.8884397736459175,0.8884397736459175,0.0,Y14159.00,YASR-60C,2002,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
C3987200,0.9493346097109319,0.9487356538296559,0.0005989558812760087,0.8884397736459175,0.8884397736459175,0.0,C39872.00,BPEXTP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C6034500,0.9493346097109319,0.9487382693575217,0.000596340353410163,0.8884397736459175,0.8884397736459175,0.0,C60345.00,MS-BPI-31,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C1978800,0.9493346097109319,0.9487513469968509,0.0005832627140809343,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C19788.00,MS984019,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y2590306,0.9493346097109319,0.9487565780525826,0.0005780316583492429,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
C1501900,0.9493346097109319,0.9487670401640459,0.0005675695468859709,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C15019.00,ANTI1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C1435700,0.9493346097109319,0.9487670401640459,0.0005675695468859709,0.8884397736459175,0.8916734033953112,-0.003233629749393674,C14357.00,MS941447,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C2766100,0.9493346097109319,0.9487670401640459,0.0005675695468859709,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C27661.00,CSAS040E,2002,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1416200,0.9493346097109319,0.9487722712197776,0.0005623384911542795,0.8884397736459175,0.8884397736459175,0.0,Y14162.00,YASR-60F,2002,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
C2738300,0.9493346097109319,0.9487801178033751,0.0005544919075567423,0.8884397736459175,0.8860145513338723,0.0024252223120452276,C27383.00,BPI-11,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C1801400,0.9493346097109319,0.9487853488591067,0.0005492608518251618,0.8884397736459175,0.8884397736459175,0.0,C18014.00,CS98LIK_02,1998,other,WHAT I AM LIKE/SPPC: SOME KIDS UNHAPPY/SOME PLEASED WITH THEMSELVES
Y3586903,0.9493346097109319,0.9487905799148384,0.0005440297960934704,0.8884397736459175,0.8852061438965239,0.003233629749393674,Y35869.03,Q13-3C.01~000010,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C3010000,0.9493346097109319,0.9488088886098992,0.0005257211010326612,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C30100.00,BPI-04,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C3012400,0.9493346097109319,0.9488193507213626,0.0005152589895692783,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C30124.00,BPI-28,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C0797105,0.9493346097109319,0.9488219662492284,0.0005126434617034326,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C07971.05,BPEXTP1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
Y0672400,0.9493346097109319,0.9488219662492284,0.0005126434617034326,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y06724.00,YASR-67,1996,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?
C5696000,0.9493346097109319,0.9488245817770943,0.0005100279338375868,0.8884397736459175,0.8884397736459175,0.0,C56960.00,CSAS040E,2012,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1176802,0.9493346097109319,0.9488402749442892,0.0004943347666426234,0.8884397736459175,0.8884397736459175,0.0,Y11768.02,YASR-65A~000003,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT
C3870000,0.9493346097109319,0.9488533525836185,0.00048125712731339476,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C38700.00,CSAS040B,2008,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C5807500,0.9493346097109319,0.9488559681114842,0.00047864159944766005,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C58075.00,BPEXTZ2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C3422400,0.9493346097109319,0.9488899699737401,0.0004446397371917765,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C34224.00,MS-BPI-28,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C3609000,0.9493346097109319,0.9488899699737401,0.0004446397371917765,0.8884397736459175,0.8916734033953112,-0.003233629749393674,C36090.00,ANTIPX2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C5764600,0.9493346097109319,0.9489082786688009,0.0004263310421309674,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,C57646.00,MS-BPI-06,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y1942300,0.9493346097109319,0.9489161252523984,0.0004184844585334302,0.8884397736459175,0.8884397736459175,0.0,Y19423.00,YASR-67,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C1562600,0.9493346097109319,0.9489161252523984,0.0004184844585334302,0.8884397736459175,0.8884397736459175,0.0,C15626.00,BPEXTP1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
Y3246005,0.9493346097109319,0.9489187407802643,0.00041586893066758446,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y32460.05,Q13-3A.02~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3588100,0.9493346097109319,0.9489187407802643,0.00041586893066758446,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y35881.00,Q13-3E.01~000019,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C5118500,0.9493346097109319,0.9489187407802643,0.00041586893066758446,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C51185.00,CSAS040E,2010,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y0971000,0.9493346097109319,0.9489265873638618,0.00040802234707004725,0.8884397736459175,0.8868229587712207,0.0016168148746967814,Y09710.00,YASR-66F,1998,prior delinquency/contact,YA SELF-REPORT: AGE WHEN FIRST REFERRED TO COURT-RELATED COUNSELING
C1978000,0.9493346097109319,0.9489370494753251,0.00039756023560677534,0.8884397736459175,0.8868229587712207,0.0016168148746967814,C19780.00,MS984011,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C2433800,0.9493346097109319,0.9489396650031909,0.0003949447077409296,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C24338.00,MS2-13,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y0672100,0.9493346097109319,0.9489422805310568,0.00039232917987508387,0.8884397736459175,0.8884397736459175,0.0,Y06721.00,YASR-65A~000012,1996,substance/risk behavior,YASR: EVER CONVICTED OF DRINKING/PURCHASING ALCOHOL WHILE UNDER
C3010700,0.9493346097109319,0.9489422805310568,0.00039232917987508387,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C30107.00,BPI-11,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C1504000,0.9493346097109319,0.9489475115867885,0.0003870981241433924,0.8884397736459175,0.8852061438965239,0.003233629749393674,C15040.00,ANTIPX1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C0127914,0.9493346097109319,0.9489501271146543,0.00038448259627754666,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,C01279.14,NH12_171994,1994,family/home,# HOUSEHOLD MEMBERS AGED 12 - 17 IN HOUSEHOLD OF MOTHER
C3608900,0.9493346097109319,0.9489527426425202,0.00038186706841170093,0.8884397736459175,0.8884397736459175,0.0,C36089.00,ANTI2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
Y3245903,0.9493346097109319,0.9489579736982517,0.0003766360126801205,0.8884397736459175,0.8884397736459175,0.0,Y32459.03,Q13-3A.01~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C2466400,0.9493346097109319,0.9489605892261176,0.00037402048481427475,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C24664.00,CSAS040E,2000,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
C2797500,0.9493346097109319,0.9489684358097151,0.00036617390121673754,0.8884397736459175,0.8860145513338723,0.0024252223120452276,C27975.00,ANTIZX2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
Y2876103,0.9493346097109319,0.9489736668654468,0.00036094284548504607,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y28761.03,Q13-3C.01~000010,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y1941500,0.9493346097109319,0.9489788979211784,0.0003557117897534656,0.8884397736459175,0.8884397736459175,0.0,Y19415.00,YASR-61B,2006,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y3599000,0.9493346097109319,0.9489815134490442,0.0003530962618876199,0.8884397736459175,0.889248181083266,-0.0008084074373484462,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
C6031900,0.9493346097109319,0.9489841289769101,0.00035048073402177415,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C60319.00,MS-BPI-06,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C3987600,0.9493346097109319,0.9489867445047759,0.0003478652061559284,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,C39876.00,ANTIPX2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C1978200,0.9493346097109319,0.9489972066162393,0.0003374030946925455,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C19782.00,MS984013,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y1176806,0.9493346097109319,0.9489998221441052,0.00033478756682669975,0.8884397736459175,0.8884397736459175,0.0,Y11768.06,YASR-65A~000007,2000,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR
C3946800,0.9493346097109319,0.9489998221441052,0.00033478756682669975,0.8884397736459175,0.8860145513338723,0.0024252223120452276,C39468.00,MS-BPI-13,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3588200,0.9493346097109319,0.9490076687277026,0.00032694098322927356,0.8884397736459175,0.889248181083266,-0.0008084074373484462,Y35882.00,Q13-3E.02~000019,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C1802100,0.9493346097109319,0.9490102842555684,0.00032432545536342783,0.8884397736459175,0.8900565885206144,-0.0016168148746968924,C18021.00,CS98LIK_09,1998,school/achievement,WHAT I AM LIKE/SPPC: SOME DO WELL AT CLASSWORK/OTHERS DO NOT DO SO
Y2876104,0.9493346097109319,0.9490155153113001,0.00031909439963173636,0.8884397736459175,0.8876313662085691,0.0008084074373484462,Y28761.04,Q13-3C.01~000011,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C5531200,0.9493346097109319,0.9490207463670318,0.0003138633439000449,0.8884397736459175,0.8884397736459175,0.0,C55312.00,BPEXTP2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C0119000,0.9493346097109319,0.9490233618948977,0.00031124781603419915,0.8884397736459175,0.8916734033953112,-0.003233629749393674,C01190.00,NH6_111988,1988,family/home,NUMBER OF HOUSEHOLD MEMBERS AGED 6 - 11
C3045500,0.9493346097109319,0.9490285929506292,0.0003060167603026187,0.8884397736459175,0.8884397736459175,0.0,C30455.00,CSAS040B,2004,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C1639100,0.9493346097109319,0.9490285929506292,0.0003060167603026187,0.8884397736459175,0.8876313662085691,0.0008084074373484462,C16391.00,MS961519,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C1980000,0.9493346097109319,0.9490364395342268,0.0002981701767050815,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C19800.00,MS984031,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C0796600,0.9493346097109319,0.9490364395342268,0.0002981701767050815,0.8884397736459175,0.889248181083266,-0.0008084074373484462,C07966.00,ANTIZX1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
C1184800,0.9493346097109319,0.9490364395342268,0.0002981701767050815,0.8884397736459175,0.8860145513338723,0.0024252223120452276,C11848.00,MS921413,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y0671000,0.9493346097109319,0.949049517173556,0.00028509253737585283,0.8884397736459175,0.8868229587712207,0.0016168148746967814,Y06710.00,YASR-65A~000001,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?
